statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,1071.52,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,1071.52,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,1107.08,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,470.455,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,470.455,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,508.025,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:GrossProfit,FY23,603.244,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:GrossProfit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:GrossProfit,FY23,603.244,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:GrossProfit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:GrossProfit,FY23,599.055,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:GrossProfit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ResearchAndDevelopmentExpense,FY23,153.304,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ResearchAndDevelopmentExpense,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ResearchAndDevelopmentExpense,FY23,153.304,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ResearchAndDevelopmentExpense,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ResearchAndDevelopmentExpense,FY23,147.467,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ResearchAndDevelopmentExpense,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingExpenses,FY23,558.539,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingExpenses,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingExpenses,FY23,558.539,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingExpenses,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingExpenses,FY23,552.702,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingExpenses,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingIncomeLoss,FY23,44.705,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingIncomeLoss,FY23,44.705,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:OperatingIncomeLoss,FY23,46.353,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:OperatingIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,17.644,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,17.644,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,19.292,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,15.824,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,15.824,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,16.274,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:NetIncomeLoss,FY23,1.82,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:NetIncomeLoss,FY23,1.82,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:NetIncomeLoss,FY23,3.018,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareBasic,FY23,0.03,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareBasic,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareBasic,FY23,0.03,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareBasic,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareBasic,FY23,0.06,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareBasic,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareDiluted,FY23,0.03,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareDiluted,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareDiluted,FY23,0.03,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareDiluted,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:EarningsPerShareDiluted,FY23,0.06,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:EarningsPerShareDiluted,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ComprehensiveIncomeNetOfTax,FY23,-8.806,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ComprehensiveIncomeNetOfTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ComprehensiveIncomeNetOfTax,FY23,-8.806,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ComprehensiveIncomeNetOfTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
income_statement,us-gaap:ComprehensiveIncomeNetOfTax,FY23,-7.608,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Income Statement,"Years ended December 31, 2023",us-gaap:ComprehensiveIncomeNetOfTax,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
cash_flow,us-gaap:NetIncomeLoss,FY23,1.82,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Cash Flow,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
cash_flow,us-gaap:NetIncomeLoss,FY23,1.82,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Cash Flow,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
cash_flow,us-gaap:NetIncomeLoss,FY23,3.018,BLKB_SEC-XBRL-financials_as-presented_10-K_2026-02-18_0001280058-26-000006.xlsx,Cash Flow,"Years ended December 31, 2023",us-gaap:NetIncomeLoss,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
cash_flow,us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,FY23,16.851,BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx,Cash Flow,"Years ended December 31, 2023",us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
cash_flow,us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,FY23,16.851,BLKB_SEC-XBRL-financials_as-presented_10-K_2025-02-21_0001280058-25-000010.xlsx,Cash Flow,"Years ended December 31, 2023",us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,Kept period-primary filing BLKB_SEC-XBRL-financials_as-presented_10-K_2024-02-21_0001280058-24-000013.xlsx
